t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3
3420,-5277592.6,598370.56,-4283288.2,4845.313,826.73485,-5852.5744,4775140,689164.47,-4875257.2,5462.0474,-732.58864,5253.4615,4272323.5,-737707.29,5268646.1,-5959.6565,-670.82473,4734.7375
3480,-4975197.9,646588.81,-4624493.2,5230.689,779.94029,-5516.6629,5092030.6,643713.28,-4549436.5,5097.0256,-781.89618,5603.2384,3905398.7,-776266.59,5540622.3,-6266.5579,-614.00716,4327.7529
3540,-4650385.1,691893.59,-4944792.5,5592.3069,729.65592,-5155.9882,5386325.5,595405.68,-4203362.9,4709.1305,-827.7664,5928.2996,3520903,-811333.4,5787589.3,-6545.1384,-554.45234,3901.4135
3600,-4304628.4,734082.32,-5242749.5,5928.5606,676.11197,-4772.2065,5656702.4,544454.23,-3838564.5,4300.0496,-869.99134,6227.1663,3120573.1,-842751.5,6008443.5,-6794.1742,-492.42936,3457.652
3660,-3939494.9,772966.7,-5517030.1,6237.9634,619.55258,-4367.0731,5901943.4,491083.49,-3456654.3,3871.5709,-908.37837,6498.4702,2706214.9,-870381.14,6202199.2,-7012.5758,-428.21752,2998.4727
3720,-3556637.1,808373.45,-5766408.1,6519.1541,560.23461,-3942.4335,6120940.6,435529.12,-3059324.4,3425.5763,-942.7512,6740.9612,2279695.8,-894099.58,6367993.1,-7199.3916,-362.10499,2525.9431
3780,-3157785.4,840145.04,-5989770.5,6770.901,498.42634,-3500.2141,6312701.6,378036.82,-2648337.8,2964.0332,-972.95089,6953.5138,1842935.9,-913801.64,6505087.7,-7353.8113,-294.38762,2042.1846
3840,-2744739.9,868140.37,-6186122.2,6992.1067,434.40625,-3042.4139,6476354.4,318861.3,-2225521.5,2488.9865,-998.83675,7135.1342,1397899.8,-929400.04,6612874,-7475.1675,-225.36761,1549.3632
3900,-2319362.7,892235.3,-6354589.8,7181.8116,368.46176,-2571.0946,6611152.1,258265.13,-1792757.6,2002.5494,-1020.2872,7284.9655,946587.65,-940825.84,6690874.1,-7562.9382,-155.35231,1049.6806
3960,-1883569.1,912323.19,-6494425.4,7339.1964,300.88796,-2088.372,6716476,196517.6,-1351975.8,1506.894,-1037.2003,7402.2938,491026.55,-948028.63,6738743,-7616.7483,-84.652916,545.36502
